Entry Point: 0x7FF77D160000
GObjects: 0x7FF77F58D738
GNames: 0x7FF77F58D6F0

Processing Package: Core

ScriptStruct: Rotator                                          - Instance: 0x1FB878E8D00
ScriptStruct: ObjectProviderPendingCallback                    - Instance: 0x1FB8769BD00
ScriptStruct: ObjectPropertyInjection                          - Instance: 0x1FB8769B700
ScriptStruct: InterfacePropertyInjection                       - Instance: 0x1FB8769B580
ScriptStruct: RotatorDegrees                                   - Instance: 0x1FB87698100
ScriptStruct: RotatorRadians                                   - Instance: 0x1FB87693E80
ScriptStruct: Default__ScriptStruct                            - Instance: 0x1FB861B1180
Const: ZeroRotator                                             - Instance: 0x1FB87827A80
Const: ZeroVector                                              - Instance: 0x1FB87827A00
Const: UpVector                                                - Instance: 0x1FB87827980
Const: RightVector                                             - Instance: 0x1FB87827900
Const: ForwardVector                                           - Instance: 0x1FB87827880
Const: InvAspectRatio16x9                                      - Instance: 0x1FB87827780
Const: InvAspectRatio5x4                                       - Instance: 0x1FB87827700
Const: InvAspectRatio4x3                                       - Instance: 0x1FB87827680
Const: AspectRatio16x9                                         - Instance: 0x1FB87827600
Const: AspectRatio5x4                                          - Instance: 0x1FB87827580
Const: AspectRatio4x3                                          - Instance: 0x1FB87827500
Const: INDEX_NONE                                              - Instance: 0x1FB87827480
Const: UnrRotToDeg                                             - Instance: 0x1FB87827400
Const: DegToUnrRot                                             - Instance: 0x1FB87827380
Const: RadToUnrRot                                             - Instance: 0x1FB87827300
Const: UnrRotToRad                                             - Instance: 0x1FB87827280
Const: DegToRad                                                - Instance: 0x1FB87827200
Const: RadToDeg                                                - Instance: 0x1FB87827180
Const: Pi                                                      - Instance: 0x1FB87827100
Const: MaxQWORD                                                - Instance: 0x1FB87827080
Const: MinInt                                                  - Instance: 0x1FB87827000
Const: MaxInt                                                  - Instance: 0x1FB87826F80
Enum: EAspectRatioAxisConstraint                               - Instance: 0x1FB87827E00
Enum: EDebugBreakType                                          - Instance: 0x1FB87827D00
Enum: EAutomatedRunResult                                      - Instance: 0x1FB87827C80
Enum: EInterpCurveMode                                         - Instance: 0x1FB87827C00
Enum: EInterpMethodType                                        - Instance: 0x1FB87827B80
Enum: EAxis                                                    - Instance: 0x1FB87827B00
Enum: ETickingGroup                                            - Instance: 0x1FB87827800
Enum: EInputEvent                                              - Instance: 0x1FB87826E80
Enum: EAlphaBlendType                                          - Instance: 0x1FB87826E00
Enum: EOnlinePlatform                                          - Instance: 0x1FB87826D80
Enum: EImageType                                               - Instance: 0x1FB87826D00
Enum: EInputAPI                                                - Instance: 0x1FB87826C80
Enum: EFlushResult                                             - Instance: 0x1FB87826C00
Enum: EVoiceResultCode                                         - Instance: 0x1FB87826B80
Enum: EContentKeyIndex_PrimeUpdate29                           - Instance: 0x1FB87826B00
Enum: EContentKeyIndex_PrimeUpdate30                           - Instance: 0x1FB87826A80
Enum: EContentKeyIndex_PrimeUpdate31                           - Instance: 0x1FB87826A00
Enum: EContentKeyIndex_PrimeUpdate32                           - Instance: 0x1FB87826980
Enum: EContentKeyIndex_PrimeUpdate33                           - Instance: 0x1FB87826900
Enum: EContentKeyIndex_PrimeUpdate34                           - Instance: 0x1FB87826880
Enum: EContentKeyIndex_PrimeUpdate35                           - Instance: 0x1FB87826800
Enum: EContentKeyIndex_PrimeUpdate35B                          - Instance: 0x1FB87826780
Enum: EContentKeyIndex_PrimeUpdate35C                          - Instance: 0x1FB87826700
Enum: EContentKeyIndex_PrimeUpdate36_0                         - Instance: 0x1FB87826680
Enum: EContentKeyIndex_PrimeUpdate36_1                         - Instance: 0x1FB87826600
Enum: EContentKeyIndex_PrimeUpdate36_2                         - Instance: 0x1FB87826580
Enum: EContentKeyIndex_PrimeUpdate37_0                         - Instance: 0x1FB87826500
Enum: EContentKeyIndex_PrimeUpdate37_1                         - Instance: 0x1FB87826480
Enum: EContentKeyIndex_PrimeUpdate37_2                         - Instance: 0x1FB87826400
Enum: EContentKeyIndex_PrimeUpdate38_0                         - Instance: 0x1FB87826380
Enum: EContentKeyIndex_PrimeUpdate38_1                         - Instance: 0x1FB87826300
Enum: EContentKeyIndex_PrimeUpdate39_0                         - Instance: 0x1FB87826200
Enum: EContentKeyIndex_PrimeUpdate39_1                         - Instance: 0x1FB87826180
Enum: EContentKeyIndex_PrimeUpdate40_0                         - Instance: 0x1FB87826100
Enum: EContentKeyIndex_PrimeUpdate40_1                         - Instance: 0x1FB87826080
Enum: EContentKeyIndex_PrimeUpdate41                           - Instance: 0x1FB87826000
Enum: EContentKeyIndex_PrimeUpdate42                           - Instance: 0x1FB87825F80
Enum: EContentKeyIndex_PrimeUpdate43                           - Instance: 0x1FB87825F00
Enum: EContentKeyIndex_PrimeUpdate44                           - Instance: 0x1FB87825E80
Enum: EContentKeyIndex_PrimeUpdate45                           - Instance: 0x1FB87825E00
Enum: EContentKeyIndex_PrimeUpdate46                           - Instance: 0x1FB87825D80
Enum: EContentKeyIndex_PrimeUpdate47                           - Instance: 0x1FB87825D00
Enum: EContentKeyIndex_PrimeUpdate48                           - Instance: 0x1FB87825C80
Enum: EContentKeyIndex_PrimeUpdate49                           - Instance: 0x1FB87825B80
Enum: EContentKeyIndex_PrimeUpdate50                           - Instance: 0x1FB87825B00
Enum: EContentKeyIndex_ContinuousIntegration                   - Instance: 0x1FB87825A80
Enum: EDistributionVectorLockFlags                             - Instance: 0x1FB87825780
Enum: EDistributionVectorMirrorFlags                           - Instance: 0x1FB87825700
Class: Object                                                  - Instance: 0x1FB862EE000
Class: Config_ORS                                              - Instance: 0x1FB87549800
Class: ClassTupleCollection_ORS                                - Instance: 0x1FB87549C00
Class: ClassTuple_ORS                                          - Instance: 0x1FB8754A000
Class: SubscriptionCollection_ORS                              - Instance: 0x1FB8754A400
Class: Group_ORS                                               - Instance: 0x1FB8754AC00
Class: Instance_ORS                                            - Instance: 0x1FB8754B000
Class: Global_ORS                                              - Instance: 0x1FB8754B400
Class: UTF8                                                    - Instance: 0x1FB8754B800
Class: TextBuffer                                              - Instance: 0x1FB8754BC00
Class: Subsystem                                               - Instance: 0x1FB87544800
Class: System                                                  - Instance: 0x1FB87544400
Class: Subscription                                            - Instance: 0x1FB87544C00
Class: PropertyChangeDispatcher                                - Instance: 0x1FB87545000
Class: PackageMap                                              - Instance: 0x1FB87545400
Class: ObjectUtil                                              - Instance: 0x1FB87545800
Class: ObjectSerializer                                        - Instance: 0x1FB87545C00
Class: ObjectRedirector                                        - Instance: 0x1FB87546000
Class: MetaData                                                - Instance: 0x1FB87546400
Class: Linker                                                  - Instance: 0x1FB87547000
Class: LinkerSave                                              - Instance: 0x1FB87546800
Class: LinkerLoad                                              - Instance: 0x1FB87546C00
Class: Interface                                               - Instance: 0x1FB87547400
Class: FileSystem                                              - Instance: 0x1FB87547800
Class: Field                                                   - Instance: 0x1FB8615FC00
Class: Struct                                                  - Instance: 0x1FB862EC400
Class: ScriptStruct                                            - Instance: 0x1FB87547C00
Class: Function                                                - Instance: 0x1FB87550400
Class: Property                                                - Instance: 0x1FB875C8800
Class: StructProperty                                          - Instance: 0x1FB87550800
Class: StrProperty                                             - Instance: 0x1FB87550C00
Class: QWordProperty                                           - Instance: 0x1FB87551000
Class: ObjectProperty                                          - Instance: 0x1FB87551C00
Class: ComponentProperty                                       - Instance: 0x1FB87551400
Class: ClassProperty                                           - Instance: 0x1FB87551800
Class: NameProperty                                            - Instance: 0x1FB87552000
Class: MapProperty                                             - Instance: 0x1FB87552400
Class: IntProperty                                             - Instance: 0x1FB87552800
Class: InterfaceProperty                                       - Instance: 0x1FB87552C00
Class: FloatProperty                                           - Instance: 0x1FB87553000
Class: DelegateProperty                                        - Instance: 0x1FB87553400
Class: ByteProperty                                            - Instance: 0x1FB87553800
Class: BoolProperty                                            - Instance: 0x1FB87553C00
Class: ArrayProperty                                           - Instance: 0x1FB875C8400
Class: Enum                                                    - Instance: 0x1FB875C8C00
Class: Const                                                   - Instance: 0x1FB875C9000
Class: FeatureSystem                                           - Instance: 0x1FB875C9400
Class: Factory                                                 - Instance: 0x1FB875C9C00
Class: TextBufferFactory                                       - Instance: 0x1FB875C9800
Class: Exporter                                                - Instance: 0x1FB875CA000
Class: ErrorType                                               - Instance: 0x1FB875CA400
Class: ErrorList                                               - Instance: 0x1FB875CAC00
Class: ArrayErrors                                             - Instance: 0x1FB875CA800
Class: Error                                                   - Instance: 0x1FB875CB000
Class: DelegateTracker                                         - Instance: 0x1FB875CB400
Class: DebugDrawer                                             - Instance: 0x1FB875CB800
Class: Compression                                             - Instance: 0x1FB875CBC00
Class: Component                                               - Instance: 0x1FB8615D800
Class: StringObjectMap                                         - Instance: 0x1FB8615C400
Class: StringMap                                               - Instance: 0x1FB8615C800
Class: ObjectProvider                                          - Instance: 0x1FB8615CC00
Class: DistributionVector                                      - Instance: 0x1FB8615D000
Class: DistributionFloat                                       - Instance: 0x1FB8615D400
Class: Commandlet                                              - Instance: 0x1FB8615E000
Class: HelpCommandlet                                          - Instance: 0x1FB8615DC00
Class: Breadcrumbs                                             - Instance: 0x1FB8615E400
Class: Base64                                                  - Instance: 0x1FB8615E800
Class: AutomationTest                                          - Instance: 0x1FB8615EC00
Class: AsyncTask                                               - Instance: 0x1FB8615F400
Class: AsyncResult                                             - Instance: 0x1FB8615F000
Class: _Types_Core                                             - Instance: 0x1FB8615F800
Class: State                                                   - Instance: 0x1FB862ED000
Class: Package                                                 - Instance: 0x1FB862ECC00
Class: Class                                                   - Instance: 0x1FB862EC800
Class: __AsyncTask__All_0x1                                    - Instance: 0x1FB87914800
Class: _LoggingDoc                                             - Instance: 0x1FB87914400
Class: _Types_Generated                                        - Instance: 0x1FB876B3C00
Class: ArrayFuncs                                              - Instance: 0x1FB876B3800
Class: IDisposable                                             - Instance: 0x1FB876B3400
Class: RotatorConversions                                      - Instance: 0x1FB876B3000
Class: TAsyncResult                                            - Instance: 0x1FB876B2C00

Processing Package: Engine

ScriptStruct: GameClipsMaskArea                                - Instance: 0x1FB87691000
ScriptStruct: AnimSlotDesc                                     - Instance: 0x1FB87690D00
ScriptStruct: RigidBodyState                                   - Instance: 0x1FB87690B80
ScriptStruct: RigidBodyContactInfo                             - Instance: 0x1FB87690A00
ScriptStruct: CollisionImpactData                              - Instance: 0x1FB87690E80
ScriptStruct: PhysEffectInfo                                   - Instance: 0x1FB87690880
ScriptStruct: ActorReference                                   - Instance: 0x1FB87690700
ScriptStruct: NavReference                                     - Instance: 0x1FB87690580
ScriptStruct: BasedPosition                                    - Instance: 0x1FB87690400
ScriptStruct: TraceHitInfo                                     - Instance: 0x1FB87667700
ScriptStruct: ImpactInfo                                       - Instance: 0x1FB87666F80
ScriptStruct: SeqOpInputLink                                   - Instance: 0x1FB87643A00
ScriptStruct: AnimSlotInfo                                     - Instance: 0x1FB8762D480
ScriptStruct: TimerData                                        - Instance: 0x1FB8762D300
ScriptStruct: RBCollisionChannelContainer                      - Instance: 0x1FB8762C100
ScriptStruct: LightingChannelContainer                         - Instance: 0x1FB87621000
ScriptStruct: MaterialViewRelevance                            - Instance: 0x1FB87613700
ScriptStruct: ComponentTemplate                                - Instance: 0x1FB87612E00
ScriptStruct: VisiblePortalInfo                                - Instance: 0x1FB87611900
ScriptStruct: DebugNavCost                                     - Instance: 0x1FB875DB880
ScriptStruct: NavigationOctreeObject                           - Instance: 0x1FB875DB700
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FB875DB580
ScriptStruct: KSphereElem                                      - Instance: 0x1FB875D9300
ScriptStruct: KBoxElem                                         - Instance: 0x1FB875D9180
ScriptStruct: KSphylElem                                       - Instance: 0x1FB875D9000
ScriptStruct: KConvexElem                                      - Instance: 0x1FB875D8E80
ScriptStruct: KAggregateGeom                                   - Instance: 0x1FB875D8D00
ScriptStruct: PolyReference                                    - Instance: 0x1FB875D8B80
ScriptStruct: PathSizeInfo                                     - Instance: 0x1FB875D8280
ScriptStruct: BankLoadState                                    - Instance: 0x1FBA4C26B00
ScriptStruct: KCachedConvexData_Mirror                         - Instance: 0x1FBA4C26980
ScriptStruct: GeomSelection                                    - Instance: 0x1FBA4C26800
ScriptStruct: InteriorSettings                                 - Instance: 0x1FBA4C25780
ScriptStruct: ReverbSettings                                   - Instance: 0x1FBA4C25600
ScriptStruct: AudioComponentParam                              - Instance: 0x1FBA4C25480
ScriptStruct: SubtitleCue                                      - Instance: 0x1FBA4C1BE80
ScriptStruct: Listener                                         - Instance: 0x1FBA4C1BA00
ScriptStruct: AudioClassInfo                                   - Instance: 0x1FBA4C1B880
ScriptStruct: SoundNodeEditorData                              - Instance: 0x1FBA4C1B400
ScriptStruct: AmbientSoundSlot                                 - Instance: 0x1FBA4C1B100
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FBA4C1AF80
ScriptStruct: InterpPointOnSpline                              - Instance: 0x1FBA4C19900
ScriptStruct: SplineSoundSlot                                  - Instance: 0x1FBA4C19780
ScriptStruct: MultiCueSplineSoundSlot                          - Instance: 0x1FBA4C19600
ScriptStruct: DelegateArray                                    - Instance: 0x1FBA4C19480
ScriptStruct: PlatformInterfaceData                            - Instance: 0x1FBA4C19300
ScriptStruct: PlatformInterfaceDelegateResult                  - Instance: 0x1FBA4C19180
ScriptStruct: EventStringParam                                 - Instance: 0x1FBA4C03B80
ScriptStruct: CompressedTrack                                  - Instance: 0x1FBA4C01F00
ScriptStruct: CurveTrack                                       - Instance: 0x1FBA4C01C00
ScriptStruct: RotationTrack                                    - Instance: 0x1FBA4C01A80
ScriptStruct: TranslationTrack                                 - Instance: 0x1FBA4C01900
ScriptStruct: TimeModifier                                     - Instance: 0x1FBA4C01600
ScriptStruct: SkelControlModifier                              - Instance: 0x1FBA4C01780
ScriptStruct: AnimNotifyEvent                                  - Instance: 0x1FBA4C01480
ScriptStruct: RawAnimSequenceTrack                             - Instance: 0x1FBA4C01300
ScriptStruct: CurveKey                                         - Instance: 0x1FBA4C01180
ScriptStruct: AnimBlendChild                                   - Instance: 0x1FBA4C00580
ScriptStruct: WeightNodeRule                                   - Instance: 0x1FBA4BE3E80
ScriptStruct: WeightRule                                       - Instance: 0x1FBA4BE3D00
ScriptStruct: BranchInfo                                       - Instance: 0x1FBA4BE3B80
ScriptStruct: PerBoneMaskInfo                                  - Instance: 0x1FBA4BE3A00
ScriptStruct: AimTransform                                     - Instance: 0x1FBA4BE3400
ScriptStruct: AimComponent                                     - Instance: 0x1FBA4BE3280
ScriptStruct: AimOffsetProfile                                 - Instance: 0x1FBA4BE3100
ScriptStruct: ChildBoneBlendInfo                               - Instance: 0x1FBA4BE2B00
ScriptStruct: RandomAnimInfo                                   - Instance: 0x1FBA4BC7E80
ScriptStruct: AnimInfo                                         - Instance: 0x1FBA4BC7B80
ScriptStruct: AnimBlendInfo                                    - Instance: 0x1FBA4BC7D00
ScriptStruct: SynchGroup                                       - Instance: 0x1FBA4BC6680
ScriptStruct: BonePair                                         - Instance: 0x1FBA4BB2B00
ScriptStruct: SkelMeshComponentLODInfo                         - Instance: 0x1FBA4BAB700
ScriptStruct: Attachment                                       - Instance: 0x1FBA4BAA980
ScriptStruct: ActiveMorph                                      - Instance: 0x1FBA4BAA800
ScriptStruct: LocalizedSubtitle                                - Instance: 0x1FBA4BAA380
ScriptStruct: LightMapRef                                      - Instance: 0x1FBA4BAA200
ScriptStruct: DominantShadowInfo                               - Instance: 0x1FBA4BAA080
ScriptStruct: LightmassLightSettings                           - Instance: 0x1FBA4BA9F00
ScriptStruct: ScalarParameterInterpStruct                      - Instance: 0x1FBA4BA9D80
ScriptStruct: LightmassPointLightSettings                      - Instance: 0x1FBA4BA9C00
ScriptStruct: LightmassDirectionalLightSettings                - Instance: 0x1FBA4BA9A80
ScriptStruct: LightmassPrimitiveSettings                       - Instance: 0x1FBA4BA9900
ScriptStruct: LightmassDebugOptions                            - Instance: 0x1FBA4BA9780
ScriptStruct: SwarmDebugOptions                                - Instance: 0x1FBA4BA9600
ScriptStruct: RootMotionCurve                                  - Instance: 0x1FBA4BA9480
ScriptStruct: TrailSocketSamplePoint                           - Instance: 0x1FBA4BA8B80
ScriptStruct: TrailSamplePoint                                 - Instance: 0x1FBA4BA8E80
ScriptStruct: TrailSample                                      - Instance: 0x1FBA4BA8D00
ScriptStruct: AnimSetMeshLinkup                                - Instance: 0x1FBA4BA8400
ScriptStruct: AnimGroup                                        - Instance: 0x1FBA4BA8280
ScriptStruct: SkelControlListHead                              - Instance: 0x1FBA4BA8100
ScriptStruct: PreviewSkelMeshStruct                            - Instance: 0x1FBA4B6FE80
ScriptStruct: PreviewSocketStruct                              - Instance: 0x1FBA4B6FD00
ScriptStruct: PreviewAnimSetsStruct                            - Instance: 0x1FBA4B6FB80
ScriptStruct: ClothingLodInfo                                  - Instance: 0x1FBA4B6E800
ScriptStruct: NxDestructibleDamageParameters                   - Instance: 0x1FBA4B6D300
ScriptStruct: NxDestructibleDebrisParameters                   - Instance: 0x1FBA4B6D180
ScriptStruct: NxDestructibleAdvancedParameters                 - Instance: 0x1FBA4B6D000
ScriptStruct: NxDestructibleParametersFlag                     - Instance: 0x1FBA4B6D480
ScriptStruct: NxDestructibleDepthParameters                    - Instance: 0x1FBA4B6D600
ScriptStruct: NxDestructibleParameters                         - Instance: 0x1FBA4B6D780
ScriptStruct: DamageParameters                                 - Instance: 0x1FBA4B6CD00
ScriptStruct: DamagePair                                       - Instance: 0x1FBA4B6CE80
ScriptStruct: NotificationMessageInfo                          - Instance: 0x1FBA4B6CB80
ScriptStruct: NotificationInfo                                 - Instance: 0x1FBA4B6CA00
ScriptStruct: LaunchNotificationInfo                           - Instance: 0x1FBA4B6C880
ScriptStruct: KeyValuePair                                     - Instance: 0x1FBA4B63580
ScriptStruct: PlayerResponseLine                               - Instance: 0x1FBA4B63400
ScriptStruct: ServerResponseLine                               - Instance: 0x1FBA4B63280
ScriptStruct: AutomatedTestingDatum                            - Instance: 0x1FBA4B4FB80
ScriptStruct: ViewTargetTransitionParams                       - Instance: 0x1FBA4B4EC80
ScriptStruct: TCameraCache                                     - Instance: 0x1FBA4B4E080
ScriptStruct: TViewTarget                                      - Instance: 0x1FBA4B4D300
ScriptStruct: LUTBlender                                       - Instance: 0x1FBA4B3E080
ScriptStruct: MobileColorGradingParams                         - Instance: 0x1FBA4B3DF00
ScriptStruct: MobilePostProcessSettings                        - Instance: 0x1FBA4B3E200
ScriptStruct: PostProcessSettings                              - Instance: 0x1FBA4B3E380
ScriptStruct: RenderingPerformanceOverrides                    - Instance: 0x1FBA4B3DC00
ScriptStruct: FOscillator                                      - Instance: 0x1FBA4B33580
ScriptStruct: VOscillator                                      - Instance: 0x1FBA4B33280
ScriptStruct: ROscillator                                      - Instance: 0x1FBA4B33100
ScriptStruct: CameraShakeInstance                              - Instance: 0x1FBA4B32800
ScriptStruct: CanvasIcon                                       - Instance: 0x1FBA4B31D80
ScriptStruct: TextureGroupContainer                            - Instance: 0x1FBA4B31780
ScriptStruct: Texture2DMipMap                                  - Instance: 0x1FBA4B31600
ScriptStruct: TextureLinkedListMirror                          - Instance: 0x1FBA4B31480
ScriptStruct: DepthFieldGlowInfo                               - Instance: 0x1FBA4B31000
ScriptStruct: MobileDistanceFieldParams                        - Instance: 0x1FBA4B30E80
ScriptStruct: FontRenderInfo                                   - Instance: 0x1FBA4B30D00
ScriptStruct: CanvasUVTri                                      - Instance: 0x1FBA4B30B80
ScriptStruct: TextSizingParameters                             - Instance: 0x1FBA4B30A00
ScriptStruct: WrappedStringElement                             - Instance: 0x1FBA4B30880
ScriptStruct: SetSaveDataCallbackStruct                        - Instance: 0x1FBA4AE3D00
ScriptStruct: SaveSlotOperation                                - Instance: 0x1FBA4AE3B80
ScriptStruct: GetSaveDataCallbackStruct                        - Instance: 0x1FBA4AE2080
ScriptStruct: UIRangeData                                      - Instance: 0x1FBA4AC9780
ScriptStruct: TextureCoordinates                               - Instance: 0x1FBA4AC9600
ScriptStruct: SeqOpOutputInputLink                             - Instance: 0x1FBA4AC9180
ScriptStruct: SeqOpOutputLink                                  - Instance: 0x1FBA4AC9480
ScriptStruct: SeqVarLink                                       - Instance: 0x1FBA4AC9300
ScriptStruct: SeqEventLink                                     - Instance: 0x1FBA4AC9000
ScriptStruct: InputKeyAction                                   - Instance: 0x1FBA4AC8E80
ScriptStruct: InputEventParameters                             - Instance: 0x1FBA4AC8D00
ScriptStruct: SubscribedInputEventParameters                   - Instance: 0x1FBA4AC8B80
ScriptStruct: UIAxisEmulationDefinition                        - Instance: 0x1FBA4AC8A00
ScriptStruct: RawInputKeyEventData                             - Instance: 0x1FBA4AC8880
ScriptStruct: AutoCompleteCommand                              - Instance: 0x1FBA4ABA500
ScriptStruct: AutoCompleteNode                                 - Instance: 0x1FBA4ABA380
ScriptStruct: ControllerLayout                                 - Instance: 0x1FBA4AB9C00
ScriptStruct: CovPosInfo                                       - Instance: 0x1FBA4AB9000
ScriptStruct: FireLinkItem                                     - Instance: 0x1FBA4AB8E80
ScriptStruct: FireLink                                         - Instance: 0x1FBA4AB8D00
ScriptStruct: DynamicLinkInfo                                  - Instance: 0x1FBA4AB8B80
ScriptStruct: CoverReference                                   - Instance: 0x1FBA4AB8880
ScriptStruct: ExposedLink                                      - Instance: 0x1FBA4AB8A00
ScriptStruct: SlotMoveRef                                      - Instance: 0x1FBA4AB8700
ScriptStruct: CoverInfo                                        - Instance: 0x1FBA4AB8400
ScriptStruct: CoverSlot                                        - Instance: 0x1FBA4AB8580
ScriptStruct: PaintedVertex                                    - Instance: 0x1FBA4A8BA00
ScriptStruct: StaticMeshComponentLODInfo                       - Instance: 0x1FBA4A8BB80
ScriptStruct: CoverMeshes                                      - Instance: 0x1FBA4A8B100
ScriptStruct: ManualCoverTypeInfo                              - Instance: 0x1FBA4A8AB00
ScriptStruct: CoverReplicationInfo                             - Instance: 0x1FBA4A8AC80
ScriptStruct: CullDistanceSizePair                             - Instance: 0x1FBA4A89000
ScriptStruct: PresetGeneratedPoint                             - Instance: 0x1FBA4A88E80
ScriptStruct: PlayerDataStoreGroup                             - Instance: 0x1FBA4A88D00
ScriptStruct: DateTimeStruct                                   - Instance: 0x1FBA4A5FA00
ScriptStruct: DecalReceiver                                    - Instance: 0x1FBA4A5DC00
ScriptStruct: ActiveDecalInfo                                  - Instance: 0x1FBA4A5CB80
ScriptStruct: LightmassMaterialInterfaceSettings               - Instance: 0x1FBA4A47E80
ScriptStruct: MaterialInput                                    - Instance: 0x1FBA4A46500
ScriptStruct: MaterialFunctionInfo                             - Instance: 0x1FBA4A46380
ScriptStruct: ColorMaterialInput                               - Instance: 0x1FBA4A46200
ScriptStruct: ScalarMaterialInput                              - Instance: 0x1FBA4A46080
ScriptStruct: VectorMaterialInput                              - Instance: 0x1FBA4A45F00
ScriptStruct: Vector2MaterialInput                             - Instance: 0x1FBA4A45D80
ScriptStruct: CheckpointRecord                                 - Instance: 0x1FBA4A45480
ScriptStruct: CurveParameterPoint                              - Instance: 0x1FBA4A36500
ScriptStruct: OnlineProfile                                    - Instance: 0x1FBA4A35000
